b8;b9;b10;b11;b12;b13
;;;;;
-140;-140;-140;-140;-140;-140
-154;-165;-180;-200;-240;-280
-140;-140;-140;-140;-140;-140
-158;-170;-188;-215;-260;-320
-150;-150;-150;-150;-150;-150
-172;-186;-208;-240;-300;-370
-150;-150;-150;-150;-150;-150
-177;-193;-220;-260;-330;-420
-150;-150;-150;-150;-150;-150
-177;-193;-220;-260;-330;-420
-160;-160;-160;-160;-160;-160
-193;-212;-244;-290;-370;-490
-160;-160;-160;-160;-160;-160
-193;-212;-244;-290;-370;-490
-170;-170;-170;-170;-170;-170
-209;-232;-270;-330;-420;-560
-180;-180;-180;-180;-180;-180
-219;-242;-280;-340;-430;-570
-190;-190;-190;-190;-190;-190
-236;-264;-310;-380;-490;-650
-200;-200;-200;-200;-200;-200
-246;-274;-320;-390;-500;-660
-220;-220;-220;-220;-220;-220
-274;-307;-360;-440;-570;-760
-240;-240;-240;-240;-240;-240
-294;-327;-380;-460;-590;-780
-260;-260;-260;-260;-260;-260
-323;-360;-420;-510;-660;-890
-280;-280;-280;-280;-280;-280
-343;-380;-440;-530;-680;-910
-310;-310;-310;-310;-310;-310
-373;-410;-470;-560;-710;-940
-340;-340;-340;-340;-340;-340
-412;-455;-525;-630;-800;-1060
-380;-380;-380;-380;-380;-380
-452;-495;-565;-670;-840;-1100
-420;-420;-420;-420;-420;-420
-492;-535;-605;-710;-880;-1140
-480;-480;-480;-480;-480;-480
-561;-610;-690;-800;-1000;-1290
-540;-540;-540;-540;-540;-540
-621;-670;-750;-860;-1060;-1350
-600;-600;-600;-600;-600;-600
-689;-740;-830;-960;-1170;-1490
-680;-680;-680;-680;-680;-680
-769;-820;-910;-1040;-1250;-1570
-760;-760;-760;-760;-760;-760
-857;-915;-1010;-1160;-1390;-1730
-840;-840;-840;-840;-840;-840
-937;-995;-1090;-1240;-1470;-1810
