B8;B9;B10;B11;B12;B13
;;;;;
154;165;180;200;240;280
140;140;140;140;140;140
158;170;188;215;260;320
140;140;140;140;140;140
172;186;208;240;300;370
150;150;150;150;150;150
177;193;220;260;330;420
150;150;150;150;150;150
177;193;220;260;330;420
150;150;150;150;150;150
193;212;244;290;370;490
160;160;160;160;160;160
193;212;244;290;370;490
160;160;160;160;160;160
209;232;270;330;420;560
170;170;170;170;170;170
219;242;280;340;430;570
180;180;180;180;180;180
236;264;310;380;490;650
190;190;190;190;190;190
246;274;320;390;500;660
200;200;200;200;200;200
274;307;360;440;570;760
220;220;220;220;220;220
294;327;380;460;590;780
240;240;240;240;240;240
323;360;420;510;660;890
260;260;260;260;260;260
343;360;440;530;680;910
280;280;280;280;280;280
373;410;470;560;710;940
310;310;310;310;310;310
412;455;525;630;800;1060
340;340;340;340;340;340
452;495;565;670;840;1100
380;380;380;380;360;380
492;535;805;710;880;1140
420;420;420;420;420;420
561;610;690;800;1000;1290
480;480;480;480;480;480
621;670;750;860;1060;1350
540;540;540;540;540;540
689;740;830;960;1170;1490
600;600;600;600;600;600
769;820;910;1040;1250;1570
680;680;680;680;660;680
857;915;1010;1160;1390;1730
760;760;760;760;760;760
937;995;1090;1240;1470;1810
840;840;840;840;840;840
