C8;C9;C10;C11
;;;
74;85;100;120
60;60;60;60
88;100;118;145
70;70;70;70
102;116;138;170
80;80;80;80
122;138;165;205
95;95;95;95
122;138;165;205
95;95;95;95
143;162;194;240
110;110;110;110
143;162;194;240
110;110;110;110
159;182;220;280
120;120;120;120
169;192;230;290
130;130;130;130
186;214;260;330
140;140;140;140
196;224;270;340
150;150;150;150
224;257;310;390
170;170;170;170
234;267;320;400
180;180;180;180
263;300;360;450
200;200;200;200
273;310;370;460
210;210;210;210
293;330;390;480
230;230;230;230
312;355;425;530
240;240;240;240
332;375;445;550
260;260;260;260
352;395;465;570
280;280;280;280
381;430;510;620
300;300;300;300
411;460;540;650
330;330;330;330
449;500;590;720
360;360;360;360
489;540;630;760
400;400;400;400
537;595;690;840
440;440;440;440
577;635;730;880
480;480;480;480
