E6;E7;E8;E9;E10;E11;E12
;;;;;;
20;24;28;39;54;74;114
14;14;14;14;14;14;14
28;32;38;50;68;95;140
20;20;20;20;20;20;20
34;40;47;61;83;115;175
25;25;25;25;25;25;25
43;50;59;75;102;142;212
32;32;32;32;32;32;32
43;50;59;75;102;142;212
32;32;32;32;32;32;32
53;61;73;92;124;170;250
40;40;40;40;40;40;40
53;61;73;92;124;170;250
40;40;40;40;40;40;40
53;61;73;92;124;170;250
40;40;40;40;40;40;40
66;75;89;112;150;210;300
50;50;50;50;50;50;50
66;75;89;112;150;210;300
50;50;50;50;50;50;50
79;90;106;134;180;250;360
60;60;60;60;60;60;60
79;90;106;134;180;250;360
60;60;60;60;60;60;60
94;107;126;159;212;292;422
72;72;72;72;72;72;72
94;107;126;159;212;292;422
72;72;72;72;72;72;72
94;107;126;159;212;292;422
72;72;72;72;72;72;72
110;125;148;185;245;335;485
85;85;85;85;85;85;85
110;125;148;185;245;335;485
85;85;85;85;85;85;85
110;125;148;185;245;335;485
85;85;85;85;85;85;85
129;146;172;215;285;390;560
100;100;100;100;100;100;100
129;146;172;215;285;390;560
100;100;100;100;100;100;100
142;162;191;240;320;430;630
110;110;110;110;110;110;110
142;162;191;240;320;430;630
110;110;110;110;110;110;110
161;182;214;265;355;485;695
125;125;125;125;125;125;125
161;182;214;265;355;485;695
125;125;125;125;125;125;125
175;198;232;290;385;535;765
135;135;135;135;135;135;135
