G6;G7;G8;G9
;;;
8;12;16;27
2;2;2;2
12;16;22;34
4;4;4;4
14;20;27;41
5;5;5;5
17;24;33;49
6;6;6;6
17;24;33;49
6;6;6;6
20;28;40;59
7;7;7;7
20;28;40;59
7;7;7;7
20;28;40;59
7;7;7;7
25;34;48;71
9;9;9;9
25;34;48;71
9;9;9;9
29;40;56;84
10;10;10;10
29;40;56;84
10;10;10;10
34;47;66;99
12;12;12;12
34;47;66;99
12;12;12;12
34;47;66;99
12;12;12;12
39;54;77;114
14;14;14;14
39;54;77;114
14;14;14;14
39;54;77;114
14;14;14;14
44;61;87;130
15;15;15;15
44;61;87;130
15;15;15;15
49;69;98;147
17;17;17;17
49;69;98;147
17;17;17;17
54;75;107;158
18;18;18;18
54;75;107;158
18;18;18;18
60;83;117;175
20;20;20;20
