H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;H17;H18
;;;;;;;;;;;;
6;10;14;25;40;60;100;140;250;400;600;1000;1400
0;0;0;0;0;0;0;0;0;0;0;0;0
8;12;18;30;48;75;120;180;300;480;750;1200;1800
0;0;0;0;0;0;0;0;0;0;0;0;0
9;15;22;36;58;90;150;220;360;580;900;1500;2200
0;0;0;0;0;0;0;0;0;0;0;0;0
11;18;27;43;70;110;180;270;430;700;1100;1800;2700
0;0;0;0;0;0;0;0;0;0;0;0;0
11;18;27;43;70;110;180;270;430;700;1100;1800;2700
0;0;0;0;0;0;0;0;0;0;0;0;0
13;21;33;52;84;130;210;330;520;840;1300;2100;3300
0;0;0;0;0;0;0;0;0;0;0;0;0
13;21;33;52;84;130;210;330;520;840;1300;2100;3300
0;0;0;0;0;0;0;0;0;0;0;0;0
13;21;33;53;84;130;210;330;520;840;1300;2100;3300
0;0;0;0;0;0;0;0;0;0;0;0;0
16;25;39;62;100;160;250;390;620;1000;1600;2500;3900
0;0;0;0;0;0;0;0;0;0;0;0;0
16;25;39;63;100;160;250;390;620;1000;1600;2500;3900
0;0;0;0;0;0;0;0;0;0;0;0;0
19;30;46;74;120;190;300;460;740;1200;1900;3000;4600
0;0;0;0;0;0;0;0;0;0;0;0;0
19;30;46;75;120;190;300;460;740;1200;1900;3000;4600
0;0;0;0;0;0;0;0;0;0;0;0;0
22;35;54;87;140;220;350;540;870;1400;2200;3500;5400
0;0;0;0;0;0;0;0;0;0;0;0;0
22;35;54;88;140;220;350;540;870;1400;2200;3500;5400
0;0;0;0;0;0;0;0;0;0;0;0;0
22;35;54;89;140;220;350;540;870;1400;2200;3500;5400
0;0;0;0;0;0;0;0;0;0;0;0;0
25;40;63;100;160;250;460;630;1000;1600;2500;4000;6300
0;0;0;0;0;0;0;0;0;0;0;0;0
25;40;63;100;160;250;460;630;1000;1600;2500;4000;6300
0;0;0;0;0;0;0;0;0;0;0;0;0
25;40;63;100;160;250;460;630;1000;1600;2500;4000;6300
0;0;0;0;0;0;0;0;0;0;0;0;0
29;46;72;115;185;290;460;720;1150;1850;2900;4600;7200
0;0;0;0;0;0;0;0;0;0;0;0;0
29;46;72;115;185;290;460;720;1150;1850;2900;4600;7200
0;0;0;0;0;0;0;0;0;0;0;0;0
32;52;81;130;210;320;520;810;1300;2100;3200;5200;8100
0;0;0;0;0;0;0;0;0;0;0;0;0
32;52;81;130;210;320;520;810;1300;2100;3200;5200;8100
0;0;0;0;0;0;0;0;0;0;0;0;0
36;57;89;140;230;360;570;890;1400;2300;3600;5700;8900
0;0;0;0;0;0;0;0;0;0;0;0;0
36;57;89;140;230;360;570;890;1400;2300;3600;5700;8900
0;0;0;0;0;0;0;0;0;0;0;0;0
40;63;97;155;250;400;630;970;1550;2500;4000;6300;9700
0;0;0;0;0;0;0;0;0;0;0;0;0
