JS9;JS10;JS11;JS12;JS13;JS14;JS15;JS16;JS17;JS18
;;;;;;;;;
12,5;20;30;50;70;125;200;300;500;700
-12,5;-20;-30;-50;-70;-125;-200;-300;-500;-700
15;24;37,5;60;90;150;240;375;600;900
-15;-24;-37,5;-60;-90;-150;-240;-375;-600;-900
18;29;45;75;110;180;290;450;750;1100
-18;-29;-45;-75;-110;-180;-290;-450;-750;-1100
21,5;35;55;90;135;215;350;550;900;1350
-21,5;-35;-55;-90;-135;-215;-350;-550;-900;-1350
21,5;35;55;90;135;215;350;550;900;1350
-21,5;-35;-55;-90;-135;-215;-350;-550;-900;-1350
26;42;65;105;165;260;420;650;1050;1650
-26;-42;-65;-105;-165;-260;-420;-650;-1050;-1650
26;42;65;105;165;260;420;650;1050;1650
-26;-42;-65;-105;-165;-260;-420;-650;-1050;-1650
26;42;65;105;165;260;420;650;1050;1650
-26;-42;-65;-105;-165;-260;-420;-650;-1050;-1650
31;50;80;125;195;310;500;800;1250;1950
-31;-50;-80;-125;-195;-310;-500;-800;-1250;-1950
31;50;80;125;195;310;500;800;1250;1950
-31;-50;-80;-125;-195;-310;-500;-800;-1250;-1950
37;60;95;150;230;370;600;950;1500;2300
-37;-60;-95;-150;-230;-370;-600;-950;-1500;-2300
37;60;95;150;230;370;600;950;1500;2300
-37;-60;-95;-150;-230;-370;-600;-950;-1500;-2300
43,5;70;110;175;270;435;700;1100;1750;2700
-43,5;-70;-110;-175;-270;-435;-700;-1100;-1750;-2700
43,5;70;110;175;270;435;700;1100;1750;2700
-43,5;-70;-110;-175;-270;-435;-700;-1100;-1750;-2700
43,5;70;110;175;270;435;700;1100;1750;2700
-43,5;-70;-110;-175;-270;-435;-700;-1100;-1750;-2700
50;80;125;200;315;500;800;1250;2000;3150
-50;-80;-125;-200;-315;-500;-800;-1250;-2000;-3150
50;80;125;200;315;500;800;1250;2000;3150
-50;-80;-125;-200;-315;-500;-800;-1250;-2000;-3150
50;80;125;200;315;500;800;1250;2000;3150
-50;-80;-125;-200;-315;-500;-800;-1250;-2000;-3150
57,5;92,5;145;230;360;575;925;1450;2300;3600
-57,5;-92,5;-145;-230;-360;-575;-925;-1450;-2300;-3600
57,5;92,5;145;230;360;575;925;1450;2300;3600
-57,5;-92,5;-145;-230;-360;-575;-925;-1450;-2300;-3600
65;105;160;260;405;650;1050;1600;2600;4050
-65;-105;-160;-260;-405;-650;-1050;-1600;-2600;-4050
65;105;160;260;405;650;1050;1600;2600;4050
-65;-105;-160;-260;-405;-650;-1050;-1600;-2600;-4050
70;115;180;285;445;700;1150;1800;2850;4450
-70;-115;-180;-285;-445;-700;-1050;-1800;-2850;-4450
70;115;180;285;445;700;1150;1800;2850;4450
-70;-115;-180;-285;-445;-700;-1050;-1800;-2850;-4450
77,5;125;200;315;485;775;1250;2000;3150;4850
-77,5;-125;-200;-315;-485;-775;-1250;-2000;-3150;-4850
