M6;M7;M8;M9
;;;
-2;-2;-2;-2
-8;-12;-16;-27
-1;0;2;-4
-9;-12;-16;-34
-3;0;1;-6
-12;-15;-21;-42
-4;0;2;-7
-15;-18;-25;-50
-4;0;2;-7
-15;-18;-25;-50
-4;0;4;-8
-17;-21;-29;-60
-4;0;4;-8
-17;-21;-29;-60
-4;0;4;-8
-17;-21;-29;-60
-4;0;5;-9
-20;-25;-34;-71
-4;0;5;-9
-20;-25;-34;-71
-5;0;5;-
-24;-30;-41;-
-5;0;5;-
-24;-30;-41;-
-6;0;6;-
-28;-35;-48;-
-6;0;6;-
-28;-35;-48;-
-6;0;6;-
-28;-35;-48;-
-8;0;8;-
-33;-40;-55;-
-8;0;8;-
-33;-40;-55;-
-8;0;8;-
-33;-40;-55;-
-8;0;9;-
-37;-46;-63;-
-8;0;9;-
-37;-46;-63;-
-9;0;9;-
-41;-52;-72;-
-9;0;9;-
-41;-52;-72;-
-10;0;11;-
-46;-57;-78;-
-10;0;11;-
-46;-57;-78;-
-10;0;11;-
-50;-63;-86;-
