N6;N7;N8;N9;N10;N11
;;;;;
-4;-4;-4;-4;-4;-4
-10;-14;-18;-29;-44;-64
-5;-4;-2;0;0;0
-13;-16;-20;-30;-48;-75
-7;-4;-3;0;0;0
-16;-19;-25;-36;-58;-90
-9;-5;-3;0;0;0
-20;-23;-30;-43;-70;-110
-9;-5;-3;0;0;0
-20;-23;-30;-43;-70;-110
-11;-7;-3;0;0;0
-24;-28;-36;-52;-84;-130
-11;-7;-3;0;0;0
-24;-28;-36;-52;-84;-130
-11;-7;-3;0;0;0
-24;-28;-36;-52;-84;-130
-12;-8;-3;0;0;0
-28;-33;-42;-62;-100;-160
-12;-8;-3;0;0;0
-28;-33;-42;-62;-100;-160
-14;-9;-4;0;0;0
-33;-39;-50;-74;-120;-190
-14;-9;-4;0;0;0
-33;-39;-50;-74;-120;-190
-16;-10;-4;0;0;0
-38;-45;-58;-87;-140;-220
-16;-10;-4;0;0;0
-38;-45;-58;-87;-140;-220
-16;-10;-4;0;0;0
-38;-45;-58;-87;-140;-220
-20;-12;-4;0;0;0
-45;-52;-67;-100;-160;-250
-20;-12;-4;0;0;0
-45;-52;-67;-100;-160;-250
-20;-12;-4;0;0;0
-45;-52;-67;-100;-160;-250
-22;-14;-5;0;0;0
-51;-60;-77;-115;-185;-290
-22;-14;-5;0;0;0
-51;-60;-77;-115;-185;-290
-25;-14;-5;0;0;0
-57;-66;-86;-130;-210;-320
-25;-14;-5;0;0;0
-57;-66;-86;-130;-210;-320
-26;-16;-5;0;0;0
-62;-73;-94;-140;-230;-360
-26;-16;-5;0;0;0
-62;-73;-94;-140;-230;-360
-27;-17;-6;0;0;0
-67;-80;-103;-155;-250;-400
