S6;S7;S8;S9;S10
;;;;
-14;-14;-14;-14;-14
-20;-24;-28;-39;-54
-16;-15;-19;-19;-19
-24;-27;-37;-49;-67
-20;-17;-23;-23;-23
-29;-32;-45;-59;-81
-25;-21;-28;-28;-28
-36;-39;-55;-71;-98
-25;-21;-28;-28;-28
-36;-39;-55;-71;-98
-31;-27;-35;-35;-35
-44;-48;-68;-87;-119
-31;-27;-35;-35;-35
-44;-48;-68;-87;-119
-38;-34;-43;-43;-43
-54;-59;-82;-105;-143
-38;-34;-43;-43;-43
-54;-59;-82;-105;-143
-47;-42;-53;-53;-53
-66;-72;-99;-127;-173
-53;-48;-59;-59;-59
-72;-78;-105;-133;-179
-64;-58;-71;-71;-71
-86;-93;-125;-158;-211
-72;-66;-79;-79;-79
-94;-101;-133;-166;-219
-;-77;-92;-92;-92
-;-117;-155;-192;-252
-;-85;-100;-100;-100
-;-125;-163;-200;-260
-;-93;-108;-108;-108
-;-133;-171;-208;-268
-;-105;-122;-122;-122
-;-151;-194;-237;-307
-;-113;-130;-130;-130
-;-159;-202;-245;-315
-;-123;-140;-140;-140
-;-169;-212;-255;-325
-;-138;-158;-158;-158
-;-190;-239;-288;-368
-;-150;-170;-170;-170
-;-202;-251;-300;-380
-;-169;-190;-190;-190
-;-226;-279;-330;-420
-;-187;-208;-208;-208
-;-244;-297;-348;-438
-;-209;-232;-232;-232
-;-272;-329;-387;-482
-;-229;-252;-252;-252
-;-292;-349;-407;-502
