U6;U7;U8;U9;U10;U11
;;;;;
-18;-18;-18;-18;-18;-18
-24;-28;-32;-43;-58;-78
-20;-19;-23;-23;-23;-23
-28;-31;-41;-53;-71;-98
-25;-22;-28;-28;-28;-28
-34;-37;-50;-64;-86;-118
-30;-26;-33;-33;-33;-33
-41;-44;-60;-76;-103;-143
-30;-26;-33;-33;-33;-33
-41;-44;-60;-76;-103;-143
-37;-33;-;-;-;-
-50;-54;-;-;-;-
-44;-40;-48;-48;-48;-48
-57;-61;-81;-100;-132;-178
-55;-51;-60;-60;-60;-60
-71;-76;-99;-122;-160;-220
-65;-61;-70;-70;-70;-70
-81;-86;-109;-132;-170;-230
-81;-76;-87;-87;-87;-87
-100;-106;-133;-161;-207;-277
-96;-91;-102;-102;-102;-102
-115;-121;-148;-176;-222;-292
-117;-111;-124;-124;-124;-124
-139;-146;-178;-211;-264;-344
-137;-131;-144;-144;-144;-144
-159;-166;-198;-231;-284;-364
-;-155;-170;-170;-170;-170
-;-195;-233;-270;-330;-420
-;-175;-190;-190;-190;-190
-;-215;-253;-290;-350;-440
-;-195;-210;-210;-210;-210
-;-238;-273;-310;-370;-460
-;-219;-236;-236;-236;-236
-;-265;-308;-351;-421;-526
-;-241;-258;-258;-258;-258
-;-287;-330;-373;-443;-548
-;-267;-284;-284;-284;-284
-;-313;-356;-399;-469;-574
-;-295;-315;-315;-315;-315
-;-347;-396;-445;-525;-635
-;-330;-350;-350;-350;-350
-;-382;-431;-480;-560;-670
-;-369;-390;-390;-390;-390
-;-426;-479;-530;-620;-750
-;-414;-435;-435;-435;-435
-;-471;-524;-575;-665;-795
-;-467;-490;-490;-490;-490
-;-530;-587;-645;-740;-890
-;-517;-540;-540;-540;-540
-;-580;-637;-695;-790;-940
