X7;X8;X9;X10;X11
;;;;
-20;-20;-20;-20;-20
-30;-34;-45;-60;-80
-24;-28;-28;-28;-28
-36;-46;-58;-72;-103
-28;-34;-34;-34;-34
-43;-56;-70;-92;-124
-33;-40;-40;-40;-40
-51;-67;-83;-110;-150
-38;-45;-45;-45;-45
-56;-72;-88;-115;-175
-46;-54;-54;-54;-54
-67;-87;-108;-138;-184
-56;-64;-64;-64;-64
-77;-97;-116;-148;-224
-71;-80;-80;-80;-80
-96;-119;-142;-180;-240
-88;-97;-97;-97;-97
-113;-136;-159;-197;-287
-111;-122;-122;-122;-122
-141;-168;-196;-242;-312
-135;-146;-146;-146;-146
-165;-192;-220;-266;-336
-165;-178;-178;-178;-178
-200;-232;-265;-318;-398
-197;-210;-210;-210;-210
-232;-264;-297;-350;-430
-;-248;-248;-248;-248
-;-311;-348;-408;-498
-;-280;-280;-280;-280
-;-343;-380;-440;-530
-;-310;-310;-310;-310
-;-373;-410;-470;-560
-;-350;-350;-350;-350
-;-422;-465;-535;-640
-;-385;-385;-385;-385
-;-457;-500;-570;-675
-;-425;-425;-425;-425
-;-497;-540;-610;-715
-;-475;-475;-475;-475
-;-556;-605;-685;-795
-;-525;-525;-525;-525
-;-606;-655;-735;-845
-;-590;-590;-590;-590
-;-679;-730;-820;-950
-;-660;-660;-660;-660
-;-749;-800;-890;-1020
-;-740;-740;-740;-740
-;-837;-895;-990;-1140
-;-820;-820;-820;-820
-;-917;-975;-1070;-1220
