Z7;Z8;Z9;Z10;Z11
;;;;
-26;-26;-26;-26;-26
-36;-40;-51;-66;-86
-31;-35;-35;-35;-35
-43;-53;-65;-83;-110
-36;-42;-42;-42;-42
-51;-64;-78;-100;-132
-43;-50;-50;-50;-50
-61;-77;-93;-120;-160
-53;-60;-60;-60;-60
-71;-87;-103;-130;-190
-65;-73;-73;-73;-73
-86;-106;-125;-157;-203
-80;-88;-88;-88;-88
-101;-121;-140;-172;-218
-103;-112;-112;-112;-112
-128;-151;-174;-212;-272
-;-136;-136;-136;-136
-;-175;-198;-236;-296
-;-172;-172;-172;-172
-;-218;-246;-292;-362
-;-210;-210;-210;-210
-;-256;-284;-330;-400
-;-258;-258;-258;-258
-;-312;-345;-398;-478
-;-310;-310;-310;-310
-;-364;-397;-450;-530
-;-365;-365;-365;-365
-;-428;-465;-525;-615
-;-415;-415;-415;-415
-;-478;-515;-575;-665
-;-465;-465;-465;-465
-;-528;-565;-625;-715
-;-520;-520;-520;-520
-;-592;-635;-705;-810
-;-575;-575;-575;-575
-;-647;-690;-760;-865
-;-640;-640;-640;-640
-;-712;-755;-825;-930
-;-710;-710;-710;-710
-;-791;-840;-920;-1030
-;-790;-790;-790;-790
-;-871;-920;-1000;-1110
-;-900;-900;-900;-900
-;-989;-1040;-1130;-1260
-;-1000;-1000;-1000;-1000
-;-1089;-1140;-1230;-1360
-;-1100;-1100;-1100;-1100
-;-1197;-1255;-1350;-1500
-;-1250;-1250;-1250;-1250
-;-1347;-1405;-1500;-1650
