ZA7;ZA8;ZA9;ZA10;ZA11
;;;;
-32;-;-;-;-
-42;-;-;-;-
-38;-;-;-;-
-50;-;-;-;-
-46;-52;-52;-52;-52
-61;-74;-95;-122;-142
-57;-64;-64;-64;-64
-75;-91;-107;-134;-174
-70;-77;-77;-77;-77
-88;-104;-129;-161;-187
-;-98;-98;-98;-98
-;-131;-150;-182;-228
-;-118;-118;-118;-118
-;-151;-170;-218;-248
-;-148;-148;-148;-148
-;-187;-210;-248;-208
-;-180;-180;-180;-180
-;-219;-242;-280;-340
-;-226;-226;-226;-226
-;-272;-300;-346;-416
-;-274;-274;-274;-274
-;-320;-348;-394;-464
-;-335;-335;-335;-335
-;-389;-422;-475;-555
-;-400;-400;-400;-400
-;-454;-487;-540;-620
-;-470;-470;-470;-470
-;-533;-570;-630;-720
-;-535;-535;-535;-535
-;-598;-635;-695;-785
-;-600;-600;-600;-600
-;-663;-700;-760;-850
-;-670;-670;-670;-670
-;-742;-785;-855;-960
-;-740;-740;-740;-740
-;-812;-855;-925;-1030
-;-820;-820;-820;-820
-;-892;-950;-1005;-1110
-;-920;-920;-920;-920
-;-1001;-1050;-1130;-1240
-;-1000;-1000;-1000;-1000
-;-1081;-1130;-1210;-1320
-;-1150;-1150;-1150;-1150
-;-1249;-1290;-1380;-1510
-;-1300;-1300;-1300;-1300
-;-1389;-1430;-1530;-1660
-;-1450;-1450;-1450;-1450
-;-1547;-1605;-1700;-1850
-;-1600;-1600;-1600;-1600
-;-1697;-1755;-1850;-2000
