js5;js6;js7;js8;js9;js10;js11;js12;js13;js14;js15;js16;js17;js18
;;;;;;;;;;;;;
2;3;5;7;12,5;20;30;50;70;125;200;300;500;700
-2;-3;-5;-7;-12,5;-20;-30;-50;-70;-125;-200;-300;-500;-700
2,5;4;6;9;15;24;37,5;60;90;150;240;375;600;900
-2,5;-4;-6;-9;-15;-24;-37,5;-60;-90;-150;-240;-375;-600;-900
3;4,5;7,5;11;18;29;45;75;110;180;290;450;750;1100
-3;-4,5;-7,5;-11;-18;-29;-45;-75;-110;-180;-290;-450;-750;-1100
4;5,5;9;13,5;21,5;35;55;90;135;215;350;550;900;1350
-4;-5,5;-9;-13,5;-21,5;-35;-55;-90;-135;-215;-350;-550;-900;-1350
4;5,5;9;13,5;21,5;35;55;90;135;215;350;550;900;1350
-4;-5,5;-9;-13,5;-21,5;-35;-55;-90;-135;-215;-350;-550;-900;-1350
4,5;6,5;10,5;16,5;26;42;65;105;165;260;420;650;1050;1650
-4,5;-6,5;-11;-16,5;-26;-42;-65;-105;-165;-260;-420;-650;-1050;-1650
4,5;6,5;10,5;16,5;26;42;65;105;165;260;420;650;1050;1650
-4,5;-6,5;-11;-16,5;-26;-42;-65;-105;-165;-260;-420;-650;-1050;-1650
5,5;8;12,5;19,5;31;50;80;125;195;310;500;800;1250;1950
-5,5;-8;-13;-19,5;-31;-50;-80;-125;-195;-310;-500;-800;-1250;-1950
5,5;8;12,5;19,5;31;50;80;125;195;310;500;800;1250;1950
-5,5;-8;-13;-19,5;-31;-50;-80;-125;-195;-310;-500;-800;-1250;-1950
6,5;9,5;15;23;37;60;95;150;230;370;600;950;1500;2300
-6,5;-9,5;-15;-23;-37;-60;-95;-150;-230;-370;-600;-950;-1500;-2300
6,5;9,5;15;23;37;60;95;150;230;370;600;950;1500;2300
-6,5;-9,5;-15;-23;-37;-60;-95;-150;-230;-370;-600;-950;-1500;-2300
7,5;11;17,5;27;43,5;70;110;175;270;435;700;1100;1750;2700
-7,5;-11;-18;-27;-43,5;-70;-110;-175;-270;-435;-700;-1100;-1750;-2700
7,5;11;17,5;27;43,5;70;110;175;270;435;700;1100;1750;2700
-7,5;-11;-18;-27;-43,5;-70;-110;-175;-270;-435;-700;-1100;-1750;-2700
9;12;20;31,5;50;80;125;200;315;500;800;1250;2000;3150
-9;-13;-20;-31,5;-50;-80;-125;-200;-315;-500;-800;-1250;-2000;-3150
9;12;20;31,5;50;80;125;200;315;500;800;1250;2000;3150
-9;-13;-20;-31,5;-50;-80;-125;-200;-315;-500;-800;-1250;-2000;-3150
9;12;20;31,5;50;80;125;200;315;500;800;1250;2000;3150
-9;-13;-20;-31,5;-50;-80;-125;-200;-315;-500;-800;-1250;-2000;-3150
10;14;23;36;57,5;92,5;145;230;360;575;925;1450;2300;3600
-10;-15;-23;-36;-57,5;-92,5;-145;-230;-360;-575;-925;-1450;-2300;-3600
10;14;23;36;57,5;92,5;145;230;360;575;925;1450;2300;3600
-10;-15;-23;-36;-57,5;-92,5;-145;-230;-360;-575;-925;-1450;-2300;-3600
10;14;23;36;57,5;92,5;145;230;360;575;925;1450;2300;3600
-10;-15;-23;-36;-57,5;-92,5;-145;-230;-360;-575;-925;-1450;-2300;-3600
11;16;26;40,5;65;105;160;260;405;650;1050;1600;2600;4050
-12;-16;-26;-40,5;-65;-105;-160;-260;-405;-650;-1050;-1600;-2600;-4050
11;16;26;40,5;65;105;160;260;405;650;1050;1600;2600;4050
-12;-16;-26;-40,5;-65;-105;-160;-260;-405;-650;-1050;-1600;-2600;-4050
12;18;28;44,5;70;115;180;285;445;700;1150;1800;2850;4450
-13;-18;-29;-44,5;-70;-115;-180;-285;-445;-700;-1150;-1800;-2850;-4450
12;18;28;44,5;70;115;180;285;445;700;1150;1800;2850;4450
-13;-18;-29;-44,5;-70;-115;-180;-285;-445;-700;-1150;-1800;-2850;-4450
13;20;21;48,5;77,5;125;200;315;485;775;1250;2000;3150;4850
-14;-20;-22;-48,5;-77,5;-125;-200;-315;-485;-775;-1250;-2000;-3150;-4850
13;20;21;48,5;77,5;125;200;315;485;775;1250;2000;3150;4850
-14;-20;-22;-48,5;-77,5;-125;-200;-315;-485;-775;-1250;-2000;-3150;-4850
