f6;f7;f8;f9
;;;
-6;-6;-6;-6
-12;-16;-20;-31
-10;-10;-10;-10
-18;-22;-28;-40
-13;-13;-13;-13
-22;-28;-35;-49
-16;-16;-16;-16
-27;-34;-43;-59
-16;-16;-16;-16
-27;-34;-43;-59
-20;-20;-20;-20
-33;-41;-53;-72
-20;-20;-20;-20
-33;-41;-53;-72
-25;-25;-25;-25
-41;-50;-64;-87
-25;-25;-25;-25
-41;-50;-64;-87
-30;-30;-30;-30
-49;-60;-76;-104
-30;-30;-30;-30
-49;-60;-76;-104
-36;-36;-36;-36
-58;-71;-90;-123
-36;-36;-36;-36
-58;-71;-90;-123
-43;-43;-43;-43
-68;-83;-106;-143
-43;-43;-43;-43
-68;-83;-106;-143
-43;-43;-43;-43
-68;-83;-106;-143
-50;-50;-50;-50
-79;-96;-122;-165
-50;-50;-50;-50
-79;-96;-122;-165
-50;-50;-50;-50
-79;-96;-122;-165
-56;-56;-56;-56
-88;-108;-137;-186
-56;-56;-56;-56
-88;-108;-137;-186
-62;-62;-62;-62
-98;-119;-151;-202
-62;-62;-62;-62
-98;-119;-151;-202
-68;-68;-68;-68
-108;-131;-165;-223
-68;-68;-68;-68
-108;-131;-165;-223
