p5;p6;p7;p8
;;;
10;12;16;20
6;6;6;6
17;20;24;30
12;12;12;12
21;24;30;37
15;15;15;15
26;29;36;45
18;18;18;18
26;29;36;45
18;18;18;18
31;35;43;55
22;22;22;22
31;35;43;55
22;22;22;22
37;42;51;65
26;26;26;26
37;42;51;65
26;26;26;26
45;51;62;78
32;32;32;32
45;51;62;78
32;32;32;32
52;59;72;91
37;37;37;37
52;59;72;91
37;37;37;37
61;68;83;106
43;43;43;43
61;68;83;106
43;43;43;43
61;68;83;106
43;43;43;43
70;79;96;122
50;50;50;50
70;79;96;122
50;50;50;50
70;79;96;122
50;50;50;50
79;88;108;137
56;56;56;56
79;88;108;137
56;56;56;56
87;98;119;151
62;62;62;62
87;98;119;151
62;62;62;62
95;108;131;165
68;68;68;68
95;108;131;165
68;68;68;68
