t5;t6;t7;t8;t9
;;;;
-;-;-;-;-
-;-;-;-;-
-;-;-;-;-
-;-;-;-;-
-;-;-;-;-
-;-;-;-;-
-;-;-;-;-
-;-;-;-;-
-;-;-;-;-
-;-;-;-;-
-;-;-;-;-
-;-;-;-;-
50;54;62;74;93
41;41;41;41;41
59;64;73;87;110
48;48;48;48;48
65;70;79;93;116
54;54;54;54;54
79;85;96;112;140
66;66;66;66;66
88;94;105;121;149
75;75;75;75;75
106;113;126;146;179
91;91;91;92;92
119;126;139;158;191
104;104;104;104;104
140;147;162;185;222
122;122;122;122;122
152;159;174;197;234
134;134;134;134;134
184;171;186;209;246
146;146;146;146;146
186;195;212;238;281
166;166;166;166;166
200;209;226;252;295
180;180;180;180;180
216;225;242;268;311
196;196;196;196;196
231;250;270;299;348
218;218;218;218;218
263;272;292;321;370
240;240;240;240;240
293;304;325;357;408
268;268;268;268;268
319;330;351;383;434
294;294;294;294;294
357;370;393;427;485
330;330;330;330;330
387;400;423;457;515
360;360;360;360;360
