zb6;zb7;zb8;zb9;zb10;zb11
;;;;;
46;50;54;65;80;100
40;40;40;40;40;40
58;62;68;80;98;125
50;50;50;50;50;50
76;82;89;103;125;157
67;67;67;67;67;67
101;108;117;133;160;200
90;90;90;90;90;90
119;126;135;151;178;218
108;108;108;108;108;108
149;157;169;188;220;266
136;136;136;136;136;136
173;181;193;212;244;290
160;160;160;160;160;160
216;225;239;262;300;360
200;200;200;200;200;200
267;267;281;304;342;402
242;242;242;242;242;242
319;330;346;374;420;490
300;300;300;300;300;300
379;390;406;434;480;550
360;360;360;360;360;360
467;480;499;532;585;665
445;445;445;445;445;445
547;560;579;612;665;745
525;525;525;525;525;525
645;660;683;720;780;870
620;620;620;620;620;620
725;740;763;800;860;950
700;700;700;700;700;700
805;820;843;880;940;1030
780;780;780;780;780;780
909;926;952;995;1065;1170
880;880;880;880;880;880
989;1006;1032;1075;1145;1250
960;960;960;960;960;960
1079;1096;1122;1165;1235;1340
1050;1050;1050;1050;1050;1050
1232;1252;1281;1330;1410;1520
1200;1200;1200;1200;1200;1200
1332;1352;1381;1430;1510;1620
1300;1300;1300;1300;1300;1300
1536;1557;1589;1640;1730;1860
1500;1500;1500;1500;1500;1500
1686;1707;1739;1790;1880;2010
1650;1650;1650;1650;1650;1650
1890;1913;1947;2005;2100;2250
1850;1850;1850;1850;1850;1850
2140;2163;2197;2255;2350;2500
2100;2100;2100;2100;2100;2100
